,model_type,nutrient,data_type,ecoreg,era,temp,precip,elev,forest,wetland,urban,ag
0,GBR,lev_doc,lake_leverage,0.04078792639683361,0.0033120939447658327,0.05514069610255411,0.09944339842559963,0.2000805025338805,0.0701539701810197,0.3770907461594154,0.10795259644595172,0.04603806980997962
1,GBR,lev_no3,lake_leverage,0.0003839049436093442,0.0044748312401766575,0.2214084705907165,0.06457524947155725,0.04019089243569297,0.27507389190872156,0.03368866645401168,0.18831369551899382,0.17189039743652015
2,GBR,lev_tn,lake_leverage,0.02342102302527051,0.006258117539972321,0.09496453693295358,0.1977905718618937,0.049723968142572045,0.29811383289338117,0.05101163149265369,0.11416858291743451,0.16454773519386853
3,GBR,lev_tp,lake_leverage,0.02450559322594758,0.0065394303351666416,0.03134760644837616,0.16480270529775526,0.01508726877636971,0.5110969789392349,0.03156958120679866,0.1833846596866438,0.03166617608370726
4,RFR,lev_doc,lake_leverage,0.06256383649177888,0.018467774387380426,0.04154042198175167,0.09135986732451822,0.26848658149206195,0.13615312034156837,0.2711684943728737,0.056442931089889105,0.05381697251817771
5,RFR,lev_no3,lake_leverage,0.0024293378955201786,0.005935216408753839,0.1480867670436473,0.10544975135905986,0.07818594413660228,0.20944038313857635,0.05710547172462431,0.258191552766713,0.1351755755265031
6,RFR,lev_tn,lake_leverage,0.07301872203509803,0.002838888699984161,0.09429622347788819,0.15427883804773626,0.09456924607388878,0.24467167561433237,0.06805254168801105,0.14411760154807854,0.1241562628149825
7,RFR,lev_tp,lake_leverage,0.045850264049118364,0.003305335610186955,0.01914103812795821,0.24715337750810926,0.02084925025266981,0.283524188367825,0.02472329465721074,0.3189879333008895,0.03646531812603217
8,DTR,lev_doc,lake_leverage,0.048091917530198015,0.02430598586277247,0.02827671032766705,0.0420268391200811,0.05658393928214243,0.16913389170678936,0.34316588749565863,0.07195688105390807,0.21645794762078288
9,DTR,lev_no3,lake_leverage,0.00013662227467303164,6.353624636875588e-05,0.17266976153823038,0.028812292315392472,0.00651573085988106,0.4907969602216558,0.0009579737187006639,0.21907164463204634,0.08097547819305141
10,DTR,lev_tn,lake_leverage,0.034670578024996256,0.00954302349670685,0.03447532898248842,0.2591970747177087,0.0837817255357671,0.4083242879564752,0.05483951397660846,0.09450693805239255,0.02066152925685644
11,DTR,lev_tp,lake_leverage,0.05560847678770532,0.00039786740322851594,0.022122698283980242,0.156240957541509,0.020812248356233957,0.5642082202307044,0.00481095598075247,0.1650525674110913,0.01074600800479482
