,ag,area,data_type,ecoreg,elev,era,forest,leverage,model_type,nutrient,precip,r^2,temp,times_better_than_random,urban,wetland
0,,,lake,,,,,non_leverage,MLP,doc,,0.7147694747487117,,3.887586157812286,,
1,,,lake,,,,,non_leverage,MLP,no3,,0.2372306244078595,,1.7118218560127256,,
2,,,lake,,,,,non_leverage,MLP,tn,,0.5361912065904051,,3.1008118541899727,,
3,,,lake,,,,,non_leverage,MLP,tp,,0.40038754349503575,,2.438421841572056,,
4,0.032856578068574116,0.08404700784446567,lake,7.743806945881815e-05,0.23580103803012764,0.00515540222574876,0.11150463061120514,non_leverage,GBR,doc,0.2500317368417338,0.6029348400792531,0.018929658891986664,2.8001167399317612,0.19050370134647973,0.07109280807021967
5,0.2218189851659733,0.06976222610546154,lake,0.034347684821364924,0.19075827627869515,0.032113350129412806,0.1808179936207608,non_leverage,GBR,no3,0.047906710331706605,0.2284537610601424,0.02596807507736314,0.8561190998661943,0.12617304487876935,0.07033365359049237
6,0.1182084024062319,0.04226694023296753,lake,3.451215405691273e-06,0.1875242657377176,0.007922524857241401,0.2502719159960945,non_leverage,GBR,tn,0.11770043415361413,0.6521096056757774,0.11336294362152882,2.8154485233275985,0.13079806945411634,0.03194105232508217
7,0.043370720789683896,0.03587418523650554,lake,0.0007019456980900253,0.12541515369368544,0.005719687830725697,0.058261600458185465,non_leverage,GBR,tp,0.5471471471049649,0.8180891944212478,0.10475133250193908,2.732244090322317,0.033047362979499305,0.04571086370672076
8,0.1224383569143272,0.1217964325936336,lake,0.0013359283474629494,0.14980058035286886,0.003499252373197849,0.10054745253349733,non_leverage,RFR,doc,0.19884141118242485,0.8726545267115204,0.03266826541062914,9.397501601728598,0.1530431760282581,0.11602914426370005
9,0.2780136503471985,0.08113427819748067,lake,0.014071920334914823,0.15878154435555505,0.007063559139030598,0.17124304122972686,non_leverage,RFR,no3,0.05025888844165953,0.5637174479545304,0.047657274585228775,4.506543837988065,0.1333474397462155,0.058428403622989664
10,0.07784679332911745,0.10103603003773624,lake,0.0008748389480492222,0.06089021693029036,0.002145111957567296,0.2518137639216903,non_leverage,RFR,tn,0.06408144252775702,0.777126487736277,0.1997849952877942,6.7161860494785675,0.1606550004169822,0.08087180664301566
11,0.09491116179110916,0.04637354371333762,lake,0.0071181297026465685,0.11187585767447612,0.0030843546686554393,0.05297155127471538,non_leverage,RFR,tp,0.5322539912226932,0.8963707622532084,0.061750644707447226,8.14190974943429,0.044128984362667566,0.0455317808822517
12,0.01374763651538524,0.01826627459709105,lake,0.0002968373314510344,0.013419638772024874,0.0007392349357904219,0.1557030556114759,non_leverage,DTR,doc,0.3648965496026185,0.8225115684387735,0.005359831079054034,8.97228661630467,0.16884444381509442,0.2587264977400145
13,0.25683314283659303,0.045841967479220855,lake,0.00912063165668019,0.033441907522638065,0.0542526325064542,0.2711381784274069,non_leverage,DTR,no3,0.0929235938834754,0.2606430949512032,0.044367399250918815,3.831092392042881,0.18149503304641032,0.010585513390202271
14,0.04395389556874433,0.022989757979534668,lake,0.004260272558397674,0.21573116943283285,0.00015030809290432482,0.34053395469833697,non_leverage,DTR,tn,0.053222269531863514,0.4928275306015714,0.11940164207437187,5.307827677707337,0.1802890419007986,0.01946768816221517
15,0.0068583459985413755,0.03432705510001155,lake,0.00023263511376323277,0.26971421264113155,0.001041710243239317,0.10510828861683948,non_leverage,DTR,tp,0.4043675743653973,0.8699218033530913,0.11387306491736507,9.226290643742592,0.01928789590115257,0.0451892171025585
0,,,stream,,,,,non_leverage,MLP,doc,,8.425742462769836e-05,,0.09487907750925313,,
1,,,stream,,,,,non_leverage,MLP,no3,,0.0006129085632139429,,0.00933183662118866,,
2,,,stream,,,,,non_leverage,MLP,tn,,0.0002562353216516433,,0.019938867100255445,,
3,,,stream,,,,,non_leverage,MLP,tp,,0.03321893428704037,,3.429381249638098,,
4,0.07102527171723227,0.0396931273992842,stream,0.0017794529750504921,0.046863601778602194,0.0005392325621946258,0.02917162850983225,non_leverage,GBR,doc,0.1283529951600419,0.4127291070205592,0.1421104051401701,1.5987124204652117,0.05315806079964234,0.4873062239579496
5,0.051316342993700435,0.05222085934782512,stream,0.0009325710616795713,0.15913149539977053,0.010389971962909136,0.15552007501453255,non_leverage,GBR,no3,0.0699844582096612,0.18651988757330207,0.059566800904207115,1.3100906606295757,0.31742616759242953,0.12351125751328497
6,0.13939381528364828,0.09232374770668796,stream,0.01256428367851518,0.1880134505009001,0.0005567849110491835,0.1348810865369102,non_leverage,GBR,tn,0.08907121726919949,0.4437162000309931,0.12199586196084902,1.5013139413579482,0.11986770518217525,0.10133204697006527
7,0.05790506954293503,0.23876044873962024,stream,0.10880988624309204,0.17012940038921984,0.0011972631798559555,0.14532666073976924,non_leverage,GBR,tp,0.12704459361890855,0.057297518316711475,0.026735295528096618,0.8470468816174279,0.10446593854768076,0.019625443470821645
8,0.0854487612807408,0.08683446702789192,stream,0.008249851770324999,0.08931981668327495,0.0021188713888656827,0.05721335525446738,non_leverage,RFR,doc,0.0833272238971177,0.5812215222602932,0.15086185829095392,4.23532627030197,0.049351727914574615,0.3872740664917881
9,0.15998535027772784,0.046932309106870414,stream,0.00489825810867019,0.10031745727462914,0.0014878427675722374,0.16895314742094486,non_leverage,RFR,no3,0.0610952864035969,0.275375878462002,0.09190805094830216,4.108131064644389,0.228363635218064,0.1360586624736224
